"signal_desc" "function_var" "activity" "subject" "mean"
"Body Magnitude" "Mean" "LAYING" 1 -0.8602
"Body Magnitude" "Mean" "SITTING" 1 -0.9464
"Body Magnitude" "Mean" "STANDING" 1 -0.9827
"Body Magnitude" "Mean" "WALKING" 1 -0.1565
"Body Magnitude" "Mean" "WALKING_DOWNSTAIRS" 1 -0.0344
"Body Magnitude" "Mean" "WALKING_UPSTAIRS" 1 -0.2338
"Body Magnitude" "Standard Deviation" "LAYING" 1 -0.8092
"Body Magnitude" "Standard Deviation" "SITTING" 1 -0.9306
"Body Magnitude" "Standard Deviation" "STANDING" 1 -0.9804
"Body Magnitude" "Standard Deviation" "WALKING" 1 -0.2814
"Body Magnitude" "Standard Deviation" "WALKING_DOWNSTAIRS" 1 -0.1977
"Body Magnitude" "Standard Deviation" "WALKING_UPSTAIRS" 1 -0.2682
"Body on the X-axis" "Mean" "LAYING" 1 -0.3961
"Body on the X-axis" "Mean" "SITTING" 1 -0.435
"Body on the X-axis" "Mean" "STANDING" 1 -0.4317
"Body on the X-axis" "Mean" "WALKING" 1 -0.0766
"Body on the X-axis" "Mean" "WALKING_DOWNSTAIRS" 1 -0.015
"Body on the X-axis" "Mean" "WALKING_UPSTAIRS" 1 -0.1477
"Body on the X-axis" "Standard Deviation" "LAYING" 1 -0.9021
"Body on the X-axis" "Standard Deviation" "SITTING" 1 -0.9772
"Body on the X-axis" "Standard Deviation" "STANDING" 1 -0.9916
"Body on the X-axis" "Standard Deviation" "WALKING" 1 -0.3983
"Body on the X-axis" "Standard Deviation" "WALKING_DOWNSTAIRS" 1 -0.2248
"Body on the X-axis" "Standard Deviation" "WALKING_UPSTAIRS" 1 -0.4507
"Body on the Y-axis" "Mean" "LAYING" 1 -0.4811
"Body on the Y-axis" "Mean" "SITTING" 1 -0.5033
"Body on the Y-axis" "Mean" "STANDING" 1 -0.5104
"Body on the Y-axis" "Mean" "WALKING" 1 -0.0251
"Body on the Y-axis" "Mean" "WALKING_DOWNSTAIRS" 1 -0.0388
"Body on the Y-axis" "Mean" "WALKING_UPSTAIRS" 1 -0.1751
"Body on the Y-axis" "Standard Deviation" "LAYING" 1 -0.8932
"Body on the Y-axis" "Standard Deviation" "SITTING" 1 -0.9422
"Body on the Y-axis" "Standard Deviation" "STANDING" 1 -0.9801
"Body on the Y-axis" "Standard Deviation" "WALKING" 1 0.0206
"Body on the Y-axis" "Standard Deviation" "WALKING_DOWNSTAIRS" 1 -0.1132
"Body on the Y-axis" "Standard Deviation" "WALKING_UPSTAIRS" 1 0.0438
"Body on the Z-axis" "Mean" "LAYING" 1 -0.4391
"Body on the Z-axis" "Mean" "SITTING" 1 -0.488
"Body on the Z-axis" "Mean" "STANDING" 1 -0.5005
"Body on the Z-axis" "Mean" "WALKING" 1 -0.1534
"Body on the Z-axis" "Mean" "WALKING_DOWNSTAIRS" 1 -0.0687
"Body on the Z-axis" "Mean" "WALKING_UPSTAIRS" 1 -0.2315
"Body on the Z-axis" "Standard Deviation" "LAYING" 1 -0.866
"Body on the Z-axis" "Standard Deviation" "SITTING" 1 -0.9398
"Body on the Z-axis" "Standard Deviation" "STANDING" 1 -0.9802
